zone_id,latitude,longitude,geological_score,ndvi,rainfall_mm,soil_moisture_pct,temperature_c,equipment_downtime_hrs,target_production,actual_production,shortfall_risk
ZONE-A (Dongri Buzurg),21.53,79.68,77.7,0.405,42.7,35.4,27.2,10.5,44659.0,37180.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,83.5,0.453,105.0,62.0,34.7,16.7,41929.0,24605.0,HIGH
ZONE-F (Mansar),21.4,79.28,67.1,0.352,35.5,41.4,26.8,10.4,44994.0,37473.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,61.2,0.34,29.4,28.9,40.8,25.7,38872.0,23323.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,61.1,0.365,36.2,31.2,35.0,24.2,39969.0,24471.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,80.1,0.351,29.7,34.1,36.6,14.3,43890.0,33830.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,58.7,0.284,0.9,20.7,41.0,27.1,40319.0,24191.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,71.9,0.265,30.4,31.0,27.5,15.7,36030.0,26978.0,HIGH
ZONE-E (Kandri),21.42,79.27,53.7,0.249,15.3,22.9,29.7,12.7,42117.0,33561.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,71.1,0.493,109.7,66.8,35.4,21.8,42690.0,22232.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.5,0.283,9.2,24.8,35.7,3.5,37984.0,35870.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,72.6,0.486,110.4,71.5,36.1,13.9,40725.0,25349.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,40.0,0.317,17.7,31.1,28.5,8.7,40833.0,35144.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,71.8,0.441,78.9,55.0,32.3,11.5,43670.0,35658.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,54.4,0.426,58.0,48.8,27.4,2.9,42511.0,40562.0,LOW
ZONE-B (Tirodi Mine),21.68,79.71,72.0,0.304,26.6,35.6,35.1,18.4,42605.0,30043.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,32.5,0.378,70.9,49.4,28.6,5.2,36953.0,33897.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,39.0,0.352,48.9,41.3,31.4,7.8,43489.0,38054.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,53.8,0.214,10.5,27.3,27.9,11.1,36166.0,29718.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,81.6,0.438,115.4,76.8,40.9,9.4,42374.0,28777.0,HIGH
ZONE-F (Mansar),21.4,79.28,76.2,0.335,43.2,36.6,27.2,8.5,41350.0,35741.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,66.4,0.25,0.9,26.7,36.9,9.7,43153.0,36435.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,42.9,0.289,12.4,24.9,29.7,18.8,38887.0,27190.0,HIGH
ZONE-F (Mansar),21.4,79.28,69.4,0.231,9.1,21.8,39.8,30.4,42938.0,25763.0,HIGH
ZONE-F (Mansar),21.4,79.28,75.0,0.318,26.5,33.7,41.5,10.9,38228.0,31585.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,79.4,0.243,7.8,29.5,35.3,12.9,40097.0,31838.0,HIGH
ZONE-E (Kandri),21.42,79.27,56.5,0.242,2.6,25.2,35.6,1.2,43019.0,42197.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,49.1,0.288,22.9,32.0,41.8,9.8,42322.0,35717.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,54.2,0.385,52.3,43.5,27.3,13.8,44797.0,34888.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,68.8,0.315,40.9,34.0,28.7,18.7,36284.0,25404.0,HIGH
ZONE-F (Mansar),21.4,79.28,73.6,0.271,33.6,38.8,41.0,22.2,41510.0,26776.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,44.2,0.447,78.8,57.7,33.2,14.8,36735.0,28022.0,HIGH
ZONE-F (Mansar),21.4,79.28,75.3,0.304,31.5,35.0,35.9,43.0,43846.0,26308.0,HIGH
ZONE-E (Kandri),21.42,79.27,45.2,0.414,37.6,36.1,37.5,12.2,42122.0,33923.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,57.6,0.302,19.0,30.8,28.8,9.6,41659.0,35238.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,77.5,0.289,16.2,26.2,33.0,24.6,44106.0,26736.0,HIGH
ZONE-F (Mansar),21.4,79.28,70.9,0.286,37.2,36.6,33.5,3.6,39648.0,37391.0,LOW
ZONE-F (Mansar),21.4,79.28,66.5,0.274,6.9,20.3,33.9,10.6,40633.0,33747.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,90.2,0.334,38.0,41.4,31.0,7.7,39570.0,34720.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,35.8,0.343,75.3,60.0,33.2,8.0,41291.0,35997.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.1,0.325,42.9,34.7,26.6,10.2,43598.0,36515.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,65.8,0.297,20.7,37.6,34.6,25.2,37620.0,22572.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.1,0.259,13.3,28.5,28.4,13.1,43811.0,34641.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,32.6,0.271,23.5,32.4,26.5,16.9,42061.0,30689.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,66.6,0.243,7.3,25.9,29.8,17.8,44808.0,32076.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,41.5,0.403,40.2,33.2,39.9,12.5,37941.0,30354.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,72.4,0.262,17.5,32.6,36.5,15.8,43041.0,32161.0,HIGH
ZONE-E (Kandri),21.42,79.27,56.7,0.283,11.9,24.4,38.2,7.2,43901.0,38826.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,43.2,0.348,71.1,51.4,36.4,6.6,41071.0,36756.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,38.5,0.238,17.2,34.1,32.0,10.5,42014.0,34956.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,52.4,0.444,49.9,39.6,41.2,13.3,40290.0,31720.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,40.1,0.369,50.7,43.5,41.3,22.1,38191.0,24694.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,39.5,0.281,16.7,28.7,29.1,4.1,42031.0,39272.0,LOW
ZONE-E (Kandri),21.42,79.27,48.9,0.306,56.9,55.0,35.8,16.8,37097.0,27108.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.5,0.269,4.6,15.7,29.0,16.8,44260.0,32357.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.6,0.303,23.1,32.5,26.7,29.2,43373.0,26024.0,HIGH
ZONE-F (Mansar),21.4,79.28,67.6,0.33,31.5,36.4,28.8,26.2,41010.0,24606.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,37.4,0.38,53.1,44.9,32.8,8.7,40066.0,34520.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,59.5,0.277,5.8,19.5,33.6,10.1,38072.0,31939.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,33.0,0.312,9.2,20.4,33.9,17.0,39854.0,29004.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,80.8,0.317,41.3,39.8,35.3,9.9,44048.0,37049.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.4,0.249,17.9,22.3,35.9,27.3,36629.0,21978.0,HIGH
ZONE-E (Kandri),21.42,79.27,51.1,0.298,11.1,31.7,29.7,4.3,39406.0,36683.0,LOW
ZONE-F (Mansar),21.4,79.28,66.8,0.359,28.6,31.8,27.0,18.6,42210.0,29661.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,84.8,0.208,6.5,16.7,39.1,12.8,37078.0,29471.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.5,0.266,5.8,27.5,34.3,7.4,37149.0,32726.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,74.2,0.33,53.3,39.7,31.8,2.6,40025.0,38365.0,LOW
ZONE-D (Gumgaon),21.38,79.03,77.3,0.379,72.3,54.3,35.2,2.1,39575.0,38217.0,LOW
ZONE-F (Mansar),21.4,79.28,69.4,0.36,59.5,50.5,39.9,18.7,36728.0,25743.0,HIGH
ZONE-E (Kandri),21.42,79.27,53.2,0.235,0.8,18.6,41.3,20.4,40314.0,27182.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,74.2,0.42,89.6,70.2,38.2,13.1,37317.0,23601.0,HIGH
ZONE-E (Kandri),21.42,79.27,48.6,0.157,4.5,25.8,29.7,15.3,43885.0,33173.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.3,0.276,3.9,16.9,35.9,6.2,43027.0,38761.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,53.7,0.264,8.3,30.3,35.9,8.4,36672.0,31744.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,72.5,0.256,12.6,26.9,27.0,14.5,41537.0,31920.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,78.9,0.276,6.7,26.8,37.6,9.5,39188.0,33205.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.0,0.31,18.7,30.6,38.3,12.7,36173.0,28801.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.7,0.316,50.0,42.9,29.4,12.9,40932.0,32506.0,HIGH
ZONE-E (Kandri),21.42,79.27,47.2,0.352,65.1,49.2,28.4,26.3,39383.0,23630.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,67.5,0.384,68.7,52.9,28.1,15.7,43280.0,32375.0,HIGH
ZONE-E (Kandri),21.42,79.27,58.8,0.278,11.5,24.8,38.5,12.8,40051.0,31824.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,90.7,0.294,33.3,35.1,28.4,13.8,36375.0,28344.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,78.7,0.363,48.0,46.0,27.7,13.1,40158.0,31748.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,75.4,0.315,15.1,29.5,29.0,26.5,36189.0,21713.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,66.3,0.432,80.2,53.4,41.6,6.8,44638.0,39796.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,61.0,0.397,79.2,52.5,33.6,12.7,40687.0,32434.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,77.2,0.268,6.0,19.4,32.0,1.7,38464.0,37405.0,LOW
ZONE-D (Gumgaon),21.38,79.03,69.5,0.254,4.5,22.9,36.3,22.2,43619.0,28142.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,89.8,0.323,27.5,27.4,41.7,16.6,36485.0,26809.0,HIGH
ZONE-F (Mansar),21.4,79.28,63.6,0.296,49.0,43.2,37.6,16.1,44686.0,33203.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,45.1,0.208,5.7,18.7,38.1,19.7,37364.0,25561.0,HIGH
ZONE-F (Mansar),21.4,79.28,65.8,0.415,72.3,57.7,28.6,10.9,42538.0,35112.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,78.0,0.267,11.4,26.1,36.5,25.3,41535.0,24921.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,65.0,0.324,15.4,28.0,26.1,7.2,39311.0,34766.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,31.4,0.385,49.4,41.8,34.0,10.6,43024.0,35712.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,64.5,0.26,31.5,28.5,37.1,26.3,41294.0,24776.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.5,0.309,25.0,29.1,29.6,11.0,41394.0,34135.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,34.6,0.311,11.0,24.9,27.2,11.6,42369.0,34536.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,71.4,0.295,25.5,26.9,31.3,6.9,41384.0,36826.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,47.5,0.384,50.9,39.3,28.8,12.4,42173.0,33773.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,62.7,0.305,48.1,42.9,41.7,18.1,41278.0,29348.0,HIGH
ZONE-F (Mansar),21.4,79.28,66.1,0.297,25.5,32.8,30.1,24.4,37675.0,22953.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,82.7,0.3,20.0,29.6,36.1,13.9,36516.0,28393.0,HIGH
ZONE-F (Mansar),21.4,79.28,66.0,0.299,33.0,36.4,36.5,12.1,38223.0,30801.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,74.9,0.366,54.1,44.1,32.9,9.2,43678.0,37246.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,37.6,0.281,2.3,11.3,31.6,15.3,44431.0,33550.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,63.9,0.411,61.6,49.9,33.9,6.9,38778.0,34487.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,47.9,0.306,32.8,31.5,28.4,7.5,41051.0,36104.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,87.3,0.484,137.8,80.1,34.7,15.2,38035.0,23013.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,56.6,0.324,23.2,32.2,33.4,35.7,36560.0,21936.0,HIGH
ZONE-F (Mansar),21.4,79.28,62.4,0.363,57.5,43.3,38.6,8.1,38972.0,33928.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,69.6,0.362,49.1,38.2,30.1,13.8,41022.0,31981.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,62.4,0.252,2.4,24.6,34.6,6.2,43399.0,39122.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,58.9,0.249,3.4,16.1,29.0,10.9,38488.0,31803.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,85.2,0.311,17.6,28.2,28.5,23.8,43715.0,27102.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.7,0.371,79.6,55.9,35.6,12.2,43383.0,34924.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,59.1,0.297,20.3,26.2,40.1,13.2,39760.0,31353.0,HIGH
ZONE-E (Kandri),21.42,79.27,50.3,0.34,38.6,33.1,40.1,5.1,41038.0,37707.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,81.1,0.269,1.0,18.5,32.1,17.8,42836.0,30665.0,HIGH
